code,judet,nume
IS,Iași,"Muzeul „Alexandru Ioan Cuza”, sat Ruginoasa, comuna Ruginoasa"
IL,Ialomița,Muzeul Național al Agriculturii din Slobozia
IL,Ialomița,Muzeul Județean de Istorie Ialomița
MH,Mehedinți,Muzeul de Artă din Drobeta-Turnu Severin
MH,Mehedinți,Muzeul Regiunii Porților de Fier
MH,Mehedinți,Expoziția „Hidrocentrala Porțile de Fier”
MM,Maramureș,Muzeul Județean de Artă «Centrul Artistic Baia Mare» din Baia Mare [67]
MM,Maramureș,Muzeul satului din Baia Mare
MM,Maramureș,Muzeul Țărăncii Române din Dragomirești
MM,Maramureș,"Ansamblul Muzeal și Monumental ""Dr. Vasile Lucaciu"" din Șișești"
MS,Mureș,Muzeul Județean Mureș
MS,Mureș,Muzeul de Etnografie și Arta Populară din Târgu Mureș
MS,Mureș,Muzeul de Științele Naturii din Târgu Mureș
MS,Mureș,Muzeul Bolyai
MS,Mureș,Muzeul Municipal Târnăveni
MS,Mureș,Muzeul de Istorie din Sighișoara
MS,Mureș,Muzeul Sașilor din Reghin
MS,Mureș,Muzeul Etnografic din Reghin
NT,Neamț,Muzeul de Istorie și Arheologie Piatra Neamț
NT,Neamț,Muzeul de Artă din Piatra-Neamț
NT,Neamț,Muzeul de Etnografie din Piatra-Neamț
NT,Neamț,Muzeul de Științe Naturale din Piatra-Neamț
NT,Neamț,Muzeul Memorial „Calistrat Hogaș” din Piatra Neamț
NT,Neamț,Muzeul de Artă Eneolitică Cucuteni din Piatra Neamț
NT,Neamț,Muzeul de Istorie din Roman din Roman
NT,Neamț,Muzeul de Artă din Roman
NT,Neamț,Muzeul de Științe Naturale din Roman
NT,Neamț,Muzeul Parohial Pipirig din Pipirig[
NT,Neamț,Muzeul Popa din Târpești
OT,Olt,Muzeul Județean Olt
PH,Prahova,Muzeul Cinegetic al Carpaților de la Posada
PH,Prahova,Muzeul Memorial Cezar Petrescu din Bușteni
PH,Prahova,Muzeul Casă de Târgoveț din secolele XVIII-lea al XIX-lea din Ploiești
PH,Prahova,Muzeul Național Peleș din Sinaia
PH,Prahova,Muzeul Județean al Științelor Naturii Prahova
PH,Prahova,Muzeul Memorial Constantin și Ion Stere din Bucov
